language,TotalPercent
Spanish; Castilian,1209.3380647151089
English,617.2215820545433
Arabic,568.8230114915852
Unlisted Language,197.17792129566337
Russian,196.45560714943144
Cantonese,190.97150973372624
"Greek, Modern",147.93424016671094
Standard Chinese; Mandarin; Putonghua; Guoyu,136.2024884803214
Other,119.42590430779677
Portuguese,111.30569449443566
Uzbek,110.54005224660398
Bengali; Bangla,108.60154540565702
Korean,100.52355632777025
Japanese,100.15445953382279
Armenian; Hayeren,99.91621341329187
Czech,98.97231496939344
Tunisian Arabic; Tunisian,98.9202657807309
Vietnamese,98.78295418892276
Mongolian,98.5958485958486
Serbian,96.28753236069778
German,93.14223469840645
"Romanian, Moldavian, Moldovan",93.09543761638736
Slovak,92.64975845410628
Tajik,90.91503657262278
Burmese,89.91666666666667
Other Chinese dialects,85.53950237687897
Shona; chiShona,81.9753086419753
Malay; Malaysian,72.41013877547798
Kirghiz; Kyrgyz,70.91666666666666
Persian; Farsi; Dari,61.115382342497355
Ukrainian,59.92929292929293
Kazakh,55.67616375961204
Hindi,55.49297701945054
"Punjabi, Panjabi",50.508064313824796
Hokkien; Minnan,47.83319705641864
Turkish,47.13713574067429
Thai; Central Thai,43.38333333333333
Amharic,43.170731707317074
Filipino; Pilipino,38.44462993878687
Catalan; Valencian,35.3585657370518
Hausa,33.81995133819951
Javanese,33.62527369408821
Esan,32.13333333333333
French,30.408155074003094
Swahili,28.12006319115324
Indonesian,27.473795080216586
Cebuano; Bisaya; Binisaya,27.250000000000004
Yoruba,24.087591240875916
Kurdish; Yezidi,21.268036239193187
Azerbaijani; Azeri,18.08503291745316
Oromo,17.317073170731707
Hungarian,16.483977584232623
Sindhi,15.59679037111334
Quechua,14.530177187153932
"Pashto, Pushto",14.092276830491471
Berber; Amazigh; Tamaziɣt,13.75808434908536
Somali,13.51767581399714
North Ndebele,13.251028806584362
Kikuyu; Gikuyu,12.480252764612953
Saraiki,12.337011033099298
Sundanese,12.23021582733813
Igbo,11.51662611516626
Telugu,11.110705239397946
Marathi,10.933295422721423
Urdu,10.035588122185143
Hiligaynon; Ilonggo,9.916666666666666
Kalenjin,9.636650868878355
Tigrinya,9.024390243902438
Northern Thai; Lanna,8.933333333333334
Southern Thai; Dambro; Pak Thai,8.799999999999999
"Luo, Lwo; Lwoian",8.372827804107425
Tamil,8.138075294470138
Luhya,8.056872037914692
Other European,7.968127490039841
Kamba,7.898894154818326
Sidamo; Sidaama; Sidaamu Afoo,6.341463414634147
Gilaki,6.275033377837117
Ilocano; Ilokano; Iloko,5.25
Nigerian Pidgin,5.02838605028386
Meru,4.818325434439179
Afar,4.308943089430894
Waray,4.166666666666666
Lurish; Luri; Bakhtiari,4.005340453938585
Pamiri languages,3.333333333333333
Sgaw Karen; Sgaw Kayin; Karen,3.25
Mijikenda,3.238546603475513
Aymara,3.0858250276854933
Kisii,3.001579778830964
"Other local; aboriginal; tribal, community",2.887115698767434
Balinese,2.7838598686268377
Bikol; Bicolano,2.666666666666667
Sama-Bajaw,2.666666666666667
Polish,2.636582566156647
Balochi,2.457372116349047
Turkana,2.448657187993681
Madurese,2.283390678761339
"Hassaniyya, Klem El Bithan",2.25
Tatar,2.1225688009837373
Banjar,2.064435408195183
Albanian,2.0531400966183577
Maguindanao,2.0
Shan,1.8333333333333333
Maasai,1.8167456556082149
Mayan languages,1.8047579983593112
Kapampangan,1.6666666666666667
Batak,1.5326868939630904
Itneg,1.5
Turkmen,1.4866666666666668
Tiv,1.45985401459854
Makassarese,1.4075695964967156
Tonga,1.3991769547325104
Chechen,1.3812154696132597
Palembang,1.2198936502971536
Tausug,1.1666666666666667
Kamayo,1.1666666666666667
Buginese/Bugis,1.1573350015639663
Hakka Chinese,1.1447260834014716
Surigaonon,1.0
Romani; Romany,0.9963768115942028
Mon,0.9166666666666666
Avar; Avaric,0.8839779005524863
Karanga; Korekore,0.823045267489712
Urhobo,0.6488240064882401
Yakan,0.5833333333333334
Tagalog,0.5651529718935907
Italian,0.4812908362986873
Ndau; chiNdau,0.411522633744856
Blaan,0.3333333333333333
Venda; Tshivenda,0.3292181069958848
Chitoko,0.3292181069958848
Uighur; Uyghur,0.3134796238244514
Maori,0.2909796314258002
Betawi,0.2502345949327494
Muong,0.25
Romansh,0.2394253790901835
"Sinhala, Sinhalese",0.2225932109070673
Brahui,0.2006018054162487
Croatian,0.1669449081803005
Bulgarian,0.1666666666666666
Chavacano; Chabacano,0.1666666666666666
Garifuna,0.1640689089417555
Isoko,0.16220600162206
Malayalam,0.1519874164069209
Afrikaans,0.1112966054535336
Gujarati,0.1112966054535336
Lampung,0.093837973099781
Assyrian Neo-Aramaic,0.0833333333333333
Romblomanon,0.0833333333333333
Maranao,0.0833333333333333
Kalanga,0.0823045267489712
Kaqchikel,0.0820344544708777
Lezgian; Lezgi; Lezgin,0.0783699059561128
Toraja-Saʼdan,0.0625586487331873
Auslan,0.0556483027267668
Central Khmer,0.0556483027267668
Danish,0.0556483027267668
Estonian,0.0556483027267668
Lao,0.0556483027267668
Maltese,0.0556483027267668
Swedish,0.0556483027267668
Yiddish,0.0556483027267668
Kashmiri,0.0501504513540621
Guarani,0.0484496124031007
