language,betweenness
en,0.8105209397344229
ar,0.08758937691521962
id,0.04468845760980593
cy,0.04443309499489275
fa,0.04417773237997957
da,0.02247191011235955
pt_BR,0.02247191011235955
ro,0.02247191011235955
no,0.02247191011235955
ta,0.02247191011235955
zh_CN,0.022216547497446375
vi,0.022216547497446375
de,0.0
eo,0.0
es,0.0
es_419,0.0
et,0.0
el,0.0
eu,0.0
cs,0.0
ca,0.0
af,0.0
bs,0.0
az,0.0
bn,0.0
bg,0.0
is,0.0
hu,0.0
hr,0.0
hi,0.0
fr,0.0
he,0.0
fi,0.0
ko,0.0
mk,0.0
ml,0.0
ms,0.0
mn,0.0
my,0.0
it,0.0
ka,0.0
ja,0.0
pt,0.0
pl,0.0
nl,0.0
ru,0.0
si,0.0
sk,0.0
sl,0.0
sd,0.0
sq,0.0
sr,0.0
te,0.0
sv,0.0
th,0.0
lt,0.0
lv,0.0
km,0.0
ur,0.0
uk,0.0
tr,0.0
zh_ze,0.0
ku,0.0
an,0.0
es_ES,0.0
zh_TW,0.0
as,0.0
ast,0.0
be,0.0
br,0.0
en_ze,0.0
ga,0.0
gd,0.0
am,0.0
gl,0.0
hy,0.0
kk,0.0
ig,0.0
lb,0.0
ne,0.0
nn,0.0
kn,0.0
oc,0.0
or,0.0
pt_MZ,0.0
sw,0.0
tl,0.0
tt,0.0
yue,0.0
mr,0.0
