language,weighted_degree,betweenness,pagerank
af,1700448,0.0,0.001654127821727704
ar,1471290866,0.08480649784997611,0.03199982173817878
az,4990872,0.0,0.001746115642334527
bg,1066316764,0.0,0.023572635693778963
bn,171919672,0.0,0.006180202264964817
bs,395250050,0.0,0.009850316422997957
ca,30098783,0.0,0.0023626725531811893
cs,1259846950,0.0,0.027741779084547755
da,1096087008,0.021739130434782608,0.02452157218994335
de,1214612662,0.0,0.026774481136735563
el,1365829119,0.0,0.0297987871606648
en,2056717602,0.8036311514572384,0.04525801390397733
en_ze,5736505,0.0,0.001852292347856717
eo,2272336,0.0,0.0017007389161689548
es,1579558754,0.0,0.03391215570835686
es_419,135912207,0.0,0.00467887305399454
et,508299631,0.0,0.01259925360264079
eu,30701930,0.0,0.002411463225965259
fa,1046096311,0.042761586239847105,0.023644661127049802
fi,1210700122,0.0,0.026719685362595717
fr,1354978400,0.021739130434782608,0.029859682537997242
he,1182740376,0.0,0.02593965653002471
hi,80844713,0.0,0.0035612532147055323
hr,1089433334,0.0,0.024350152532239856
hu,1300089363,0.0,0.028292325809501362
hy,145033,0.0,0.0016177100152339658
id,1129811026,0.04323936932632585,0.025550577175998453
is,121899952,0.0,0.004531142742586255
it,1298618414,0.0,0.028322477950644943
ja,62322231,0.0,0.0029972611045316878
ka,7054599,0.0,0.0017773915150735508
km,15752530,0.0,0.0021030699708853014
ko,690164916,0.0,0.01630184128734402
ku,5416885,0.0,0.0018060293170962956
lt,105585844,0.0,0.004146511898229213
lv,56045763,0.0,0.002999293073759079
mk,135295729,0.0,0.004697540715669006
ml,52870670,0.0,0.003195808808069491
mn,1700494,0.0,0.00166868104091014
ms,370728732,0.0,0.010302405821673587
my,28470847,0.0,0.002508479748551099
nl,1398054968,0.0,0.030199494958495866
no,865114592,0.021739130434782608,0.01989226975199081
pl,1397761850,0.0,0.030356349386190667
pt,1314859531,0.0,0.02888552520727886
pt_BR,1692671285,0.021739130434782608,0.03622938268667242
ro,1603641558,0.021739130434782608,0.034365583657108824
ru,1124078295,0.0,0.024822519240237456
sd,1709639,0.0,0.0016884897884159723
si,63263578,0.0,0.0032790229465938744
sk,294868709,0.0,0.00793449117315865
sl,517965498,0.0,0.01248039787173651
sq,63600586,0.0,0.00306073431165619
sr,1009985910,0.0,0.02231897075086062
sv,1118032912,0.021739130434782608,0.024951610045529114
te,40666959,0.0,0.002615841229579045
th,571908960,0.0,0.014116633115299546
tl,28053273,0.0,0.002247227975752364
tr,1368428728,0.0,0.02991014499079128
uk,282973962,0.0,0.00837400346391641
ur,33934617,0.0,0.0025101058210145037
vi,784838502,0.02150023889154324,0.01854744485174541
zh_CN,506372892,0.02150023889154324,0.012686754486612833
zh_TW,428712342,0.0,0.011314125723699104
zh_ze,11434360,0.0,0.0021226085344360278
am,84256,0.0,0.001615115839797525
an,51192,0.0,0.0016140856523104673
es_ES,47193134,0.0,0.002700674179678832
as,68454,0.0,0.001620586443514915
ast,544707,0.0,0.0016259132438927533
be,4707686,0.0,0.0020318788444085986
br,117190,0.0,0.0016160285807242639
cy,15427222,0.04300047778308648,0.00205886158349113
ga,440543,0.0,0.0017058120993540687
gd,378776,0.0,0.0016933351722361583
gl,19596872,0.0,0.0021273690074480375
ig,70540,0.0,0.0016154109168149279
kk,1778305,0.0,0.0016593528767069228
kn,1432717,0.0,0.001650985940595862
lb,142333,0.0,0.0016161993231940633
ne,1963409,0.0,0.0016654123418335784
nn,91604,0.0,0.001614716182184197
oc,475203,0.0,0.0016564327993017743
or,47449,0.0,0.0016139489620899906
pt_MZ,252593,0.0,0.0016188760608419326
so,13108,0.0,0.001613188285617209
sw,785010,0.0,0.0016337802401691587
ta,48916099,0.021739130434782608,0.0028855413643407808
tt,4031115,0.0,0.0017470423860130983
yue,5298661,0.0,0.001741709358773882
uz,1328,0.0,0.0016130334643282918
se,5474,0.0,0.0016130064889612096
mr,6705,0.0,0.001613028624218034
